Id,Label,timeset,Degree,clustering,triangles,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,componentnumber
25,,,2,0,0,3,9,0.264937,0.273955,539.025286,0.003023,0
26,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
27,,,78,0.155511,467,9,8,0.357533,0.38386,4496247.671375,0.178483,0
28,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
29,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
30,,,2,0,0,3,9,0.230993,0.235719,8289.782346,0.000494,0
31,,,3,0,0,3,9,0.23142,0.235973,1527.445596,0.000529,0
32,,,2,0,0,3,9,0.230993,0.235719,8289.782346,0.000494,0
33,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
34,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
35,,,3,0,0,3,9,0.254916,0.263045,110669.819515,0.002545,0
36,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
37,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
38,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
39,,,18,0.045752,7,3,8,0.289735,0.30281,280767.357139,0.014816,0
40,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
41,,,3,0,0,3,9,0.254916,0.263045,110669.819515,0.002545,0
42,,,4,0.166667,1,8,8,0.271185,0.282126,13116.603599,0.006267,0
43,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
44,,,10,0.044444,2,3,8,0.273259,0.284347,86037.108152,0.006887,0
45,,,25,0.146667,44,9,8,0.295068,0.309904,846997.234342,0.024496,0
46,,,112,0.072716,452,10,8,0.379081,0.405229,20618684.654685,0.168205,0
47,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
48,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
49,,,10,0.644444,29,2,9,0.281738,0.292509,2433.711013,0.009813,0
50,,,11,0.581818,32,2,9,0.278819,0.290092,2848.388953,0.009078,0
51,,,7,0,0,6,8,0.283975,0.297093,40910.420875,0.010651,0
52,,,3,0,0,3,9,0.254916,0.263045,110669.819515,0.002545,0
53,,,111,0.123178,752,9,7,0.329658,0.346635,939307.061826,0.111435,0
54,,,102,0.137449,708,9,7,0.328838,0.348372,990470.019696,0.118227,0
55,,,16,0.266667,32,9,8,0.282437,0.294259,40144.856587,0.012937,0
56,,,309,0.061531,2928,9,7,0.354416,0.377442,5111666.965213,0.290931,0
57,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
58,,,2,0,0,3,9,0.230993,0.235719,8289.782346,0.000494,0
59,,,11,0.018182,1,3,9,0.274974,0.286055,137679.656718,0.006279,0
60,,,12,0,0,3,8,0.29907,0.313612,706350.671277,0.01419,0
61,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
62,,,12,0.015152,1,3,8,0.286179,0.298382,193377.473332,0.00954,0
63,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
64,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
65,,,4,0,0,8,9,0.244908,0.251188,46057.585356,0.00137,0
66,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
67,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
68,,,1,0,0,3,9,0.230437,0.234892,0,0.000277,0
69,,,6,0.133333,2,0,8,0.286976,0.301346,149480.612604,0.012321,0
70,,,2,0,0,3,9,0.237013,0.242003,623.578675,0.000478,0
878,,,297,0.033283,1463,2,8,0.338599,0.362991,5362777.523389,0.205729,0
8552,,,4,0.833333,5,2,9,0.257161,0.267376,71.426661,0.003066,0
74,,,293,0.074641,3193,9,8,0.35664,0.381578,3701855.965992,0.344532,0
910,,,125,0.070581,547,2,8,0.322049,0.340991,1756234.411552,0.108676,0
75,,,232,0.104232,2793,9,7,0.340226,0.361613,1285421.213648,0.285903,0
86,,,125,0.115484,895,9,7,0.324527,0.343091,885411.741633,0.106161,0
93,,,455,0.058159,6007,9,7,0.35745,0.385349,5132042.846739,0.466365,0
106,,,422,0.053866,4785,9,7,0.361717,0.388954,5738721.561149,0.44231,0
136,,,1026,0.033745,17744,31,7,0.38737,0.422638,13926158.06087,1,0
140,,,1245,0.014547,11265,0,7,0.374755,0.410697,40660588.621809,0.662541,0
144,,,146,0.152291,1612,9,8,0.330804,0.350695,974443.683039,0.19094,0
145,,,133,0.126225,1108,31,8,0.331262,0.349151,659803.571763,0.157698,0
151,,,170,0.027637,397,9,8,0.354826,0.380908,6199829.935116,0.150234,0
188,,,468,0.077326,8450,31,7,0.365976,0.394798,3258862.375845,0.614956,0
195,,,1143,0.023967,15642,2,7,0.37399,0.410685,17121514.623273,0.887756,0
212,,,12,0.060606,4,15,8,0.288685,0.299812,120171.717783,0.008972,0
213,,,514,0.038797,5115,15,7,0.357788,0.385437,7772452.387843,0.387465,0
301,,,244,0.040511,1201,9,7,0.330194,0.351639,3550138.954171,0.163426,0
416,,,791,0.038269,11957,31,7,0.372341,0.402587,10774451.3961,0.692794,0
443,,,505,0.045152,5746,15,7,0.353917,0.380155,10001341.165741,0.313654,0
478,,,607,0.043867,8068,11,8,0.36457,0.393959,6803983.551444,0.581111,0
566,,,924,0.014959,6379,11,8,0.367785,0.401767,24451044.780704,0.534624,0
588,,,829,0.01421,4877,0,8,0.364977,0.396445,23867773.705425,0.457697,0
647,,,539,0.027478,3984,15,8,0.342509,0.367276,11103996.379393,0.215562,0
734,,,686,0.045204,10621,31,8,0.373957,0.404528,12541114.657762,0.696941,0
823,,,908,0.018432,7590,31,8,0.353557,0.385097,14247752.804319,0.518877,0
851,,,666,0.030048,6654,11,8,0.360159,0.390609,8212292.332046,0.526456,0
919,,,118,0.090106,622,9,8,0.320865,0.337386,1648573.557517,0.091418,0
1330,,,243,0.050403,1482,31,8,0.337321,0.358423,6013339.909664,0.170087,0
1359,,,58,0.067756,112,0,8,0.312726,0.327506,535938.027969,0.049472,0
1365,,,159,0.050394,633,9,8,0.324505,0.341421,2034213.470361,0.10568,0
1371,,,343,0.061054,3581,9,8,0.333564,0.356649,3111275.086649,0.301639,0
1672,,,424,0.046467,4167,53,8,0.353327,0.379505,5347140.414453,0.40914,0
1725,,,218,0.06291,1488,15,8,0.323337,0.342548,3777854.346798,0.121061,0
1768,,,449,0.022759,2289,1,8,0.339736,0.360576,12533541.059658,0.209011,0
1793,,,147,0.042587,457,9,8,0.317814,0.333575,2212079.643779,0.068061,0
1824,,,609,0.030561,5658,15,8,0.348366,0.375055,7417805.389007,0.34248,0
2718,,,207,0.024577,524,63,8,0.315981,0.331449,3802480.325681,0.07487,0
2737,,,171,0.028896,420,63,8,0.318376,0.332753,3208711.212364,0.068823,0
2753,,,332,0.048502,2665,15,8,0.337988,0.358344,5389012.483475,0.159287,0
3027,,,168,0.070003,982,31,8,0.31747,0.332086,1456873.564233,0.090718,0
3237,,,397,0.037084,2915,31,8,0.348716,0.372584,5129928.579404,0.328437,0
3311,,,423,0.047685,4256,15,8,0.334127,0.357118,5903983.67585,0.184403,0
3334,,,66,0.191608,411,31,8,0.309478,0.323869,326487.819077,0.057865,0
3844,,,139,0.044104,423,49,8,0.330921,0.349132,1829869.44951,0.101443,0
4153,,,160,0.032862,418,5,8,0.307374,0.321024,2666853.610878,0.049941,0
4398,,,190,0.049234,884,9,8,0.314304,0.330401,2604602.151855,0.103784,0
4746,,,383,0.023376,1710,15,8,0.319945,0.338452,9013856.282276,0.108307,0
5030,,,389,0.010535,795,2,8,0.313465,0.331147,6495698.604874,0.08605,0
5033,,,163,0.001894,25,3,9,0.300588,0.312376,4210667.670694,0.022577,0
5036,,,141,0.023202,229,50,8,0.297501,0.309503,3619622.634605,0.026538,0
5048,,,4,0.166667,1,15,9,0.282847,0.292649,532.575558,0.002958,0
5050,,,45,0.010101,10,3,9,0.291096,0.301045,782044.789594,0.008457,0
5061,,,16,0.075,9,3,8,0.294712,0.30525,86985.272674,0.012481,0
6917,,,235,0.091362,2512,15,8,0.303767,0.321428,1683749.656619,0.094225,0
9132,,,28,0.010582,4,3,9,0.288752,0.29985,680441.64238,0.008625,0
9136,,,8,0,0,6,9,0.270163,0.279327,73575.819973,0.002314,0
9498,,,3,0,0,15,9,0.268274,0.277192,1396.569685,0.001495,0
9499,,,6,0.066667,1,21,9,0.26794,0.277231,12791.599533,0.001773,0
9500,,,35,0.003361,2,3,9,0.285413,0.295551,644350.303734,0.006169,0
9501,,,13,0.076923,6,3,9,0.278814,0.288782,92464.70192,0.005168,0
9502,,,9,0.083333,3,53,9,0.272397,0.282293,47799.265814,0.003392,0
9503,,,3,0,0,15,9,0.264076,0.27283,819.720893,0.001348,0
9504,,,93,0.043712,187,8,9,0.281019,0.293103,1322219.030737,0.014258,0
308,,,421,0.042246,3735,10,7,0.349399,0.375832,4719353.9104,0.374338,0
10606,,,2,1,1,2,9,0.225904,0.231835,0,0.000388,0
88,,,284,0.095406,3834,9,8,0.358545,0.38552,2358064.313611,0.359114,0
118,,,102,0.153951,793,11,8,0.32931,0.349094,423033.559407,0.129298,0
949,,,101,0.134653,680,31,8,0.321471,0.34012,298728.374575,0.127438,0
7775,,,24,0.32971,91,11,8,0.308902,0.323707,21094.666985,0.044766,0
81,,,120,0.076471,546,9,8,0.336933,0.354053,1610914.314806,0.10832,0
82,,,212,0.02553,571,9,7,0.322997,0.338068,3161278.156303,0.084554,0
184,,,277,0.054858,2097,31,7,0.349526,0.373686,3945028.818331,0.281189,0
273,,,1367,0.014353,13401,53,7,0.365158,0.402944,23542249.801771,0.804302,0
316,,,190,0.106544,1913,9,7,0.341578,0.362433,1738463.232722,0.267216,0
390,,,35,0.006723,4,3,8,0.281434,0.291948,935624.181864,0.007234,0
1053,,,209,0.033953,738,10,8,0.321376,0.339991,4985792.738279,0.116924,0
1139,,,1068,0.01541,8780,21,8,0.369171,0.403456,23832387.018878,0.602453,0
2348,,,98,0.007364,35,3,8,0.292238,0.303721,1915754.446304,0.015375,0
2630,,,343,0.025352,1487,0,8,0.324318,0.342905,5095109.578857,0.124451,0
5020,,,87,0.026196,98,3,8,0.285745,0.297525,1383105.979555,0.014024,0
5024,,,18,0,0,3,9,0.2588,0.26741,242131.810205,0.002532,0
5069,,,186,0.000523,9,3,9,0.267279,0.279155,5248530.27091,0.017912,0
5587,,,27,0.094017,33,21,8,0.271901,0.281661,147775.25492,0.00516,0
8032,,,41,0.04878,40,15,8,0.260745,0.271081,573000.175263,0.00604,0
8556,,,72,0.010955,28,3,9,0.269069,0.279852,1131316.553002,0.009175,0
8565,,,17,0.022059,3,3,9,0.253216,0.261592,231737.877436,0.002177,0
8566,,,40,0.046154,36,3,9,0.27727,0.287634,576349.663838,0.007601,0
9129,,,70,0,0,3,9,0.258707,0.268382,1825688.859373,0.007142,0
9130,,,23,0.039526,10,3,9,0.269635,0.280021,161776.119259,0.00489,0
9131,,,16,0,0,3,9,0.250427,0.258362,344377.118637,0.001987,0
9133,,,5,0,0,3,9,0.257061,0.265401,78386.0278,0.001136,0
9134,,,11,0,0,3,9,0.258368,0.267053,270818.457838,0.001713,0
9135,,,49,0.004252,5,3,9,0.265853,0.275466,868643.815802,0.005808,0
78,,,339,0.064338,3686,9,7,0.362222,0.389002,5342832.734687,0.401749,0
115,,,126,0.137524,1083,9,7,0.315857,0.333651,273342.296551,0.109916,0
128,,,264,0.024254,842,9,8,0.320383,0.336864,6095478.872761,0.099956,0
362,,,17,0.330882,45,9,7,0.285544,0.298375,32292.02902,0.015567,0
959,,,38,0.169275,119,9,8,0.289673,0.302689,59636.103519,0.023771,0
960,,,143,0.065005,660,9,8,0.307363,0.322807,926935.174606,0.080717,0
961,,,2,1,1,3,8,0.263691,0.273095,0,0.002939,0
962,,,2,1,1,3,8,0.263691,0.273095,0,0.002939,0
102,,,203,0.046725,958,9,7,0.343876,0.364959,4482625.008653,0.158097,0
112,,,54,0.186583,267,9,8,0.311719,0.327329,151257.984195,0.054735,0
133,,,151,0.092097,1043,3,8,0.318541,0.334014,1891454.041581,0.112823,0
1806,,,163,0.00871,115,23,8,0.304378,0.318155,3481516.181015,0.032782,0
887,,,310,0.0228,1092,9,8,0.336123,0.359734,6276876.175896,0.165972,0
5023,,,25,0.02,6,3,9,0.252808,0.260865,451008.963394,0.002701,0
189,,,3,1,3,9,8,0.266084,0.276066,0,0.003431,0
204,,,5,0.5,5,9,8,0.276268,0.286964,401.041011,0.006282,0
72,,,377,0.069403,4919,31,8,0.350559,0.375822,2837131.749788,0.393456,0
76,,,815,0.041504,13767,31,7,0.386118,0.419256,13506564.342765,0.847688,0
83,,,201,0.119055,2393,9,7,0.349479,0.373046,1603566.621586,0.265816,0
95,,,597,0.018493,3290,2,8,0.351836,0.379716,10608124.224731,0.348425,0
107,,,234,0.068926,1879,9,7,0.340984,0.363057,2701962.659897,0.231627,0
109,,,339,0.067148,3847,9,8,0.333948,0.356588,2383181.04383,0.265199,0
232,,,399,0.059886,4755,31,7,0.351884,0.378854,3199160.93233,0.435879,0
353,,,705,0.030412,7547,31,7,0.36742,0.399591,11623777.314339,0.580757,0
402,,,172,0.097307,1431,9,7,0.3352,0.356111,1668716.528901,0.185998,0
409,,,141,0.138298,1365,9,7,0.320969,0.33665,473304.200041,0.110777,0
458,,,1261,0.011602,9217,2,7,0.368296,0.404765,23227868.421221,0.671865,0
652,,,538,0.046458,6711,31,8,0.350544,0.378389,6395607.164357,0.481968,0
802,,,405,0.073976,6052,31,8,0.356912,0.384466,3584583.042847,0.484359,0
873,,,62,0.217874,412,9,8,0.313156,0.329674,110832.74341,0.075795,0
929,,,295,0.044114,1913,9,8,0.328716,0.348033,2623453.114723,0.176222,0
939,,,386,0.046282,3439,9,8,0.326306,0.349021,4862051.956395,0.207963,0
1028,,,1244,0.016897,13064,53,8,0.366992,0.404466,19079252.525765,0.795425,0
1161,,,243,0.035847,1054,31,8,0.328277,0.346479,2599609.442879,0.126687,0
1287,,,6,0.2,3,9,8,0.266012,0.276622,1335.056994,0.002649,0
1304,,,263,0.08217,2831,9,8,0.316281,0.333861,2014674.347606,0.152107,0
1334,,,314,0.063938,3142,9,8,0.335541,0.355812,4360800.052519,0.208652,0
1507,,,307,0.05133,2411,4,8,0.341738,0.364556,5358351.692951,0.259942,0
1528,,,365,0.042872,2848,5,8,0.343137,0.368268,4447508.384907,0.319431,0
1552,,,143,0.143012,1452,31,8,0.327199,0.347431,653694.689865,0.199003,0
1819,,,262,0.017168,587,2,8,0.302768,0.319968,1815676.771464,0.067095,0
1821,,,280,0.047824,1868,9,8,0.317551,0.335913,2432322.839208,0.147704,0
1927,,,197,0.0562,1085,9,8,0.320859,0.338299,2073355.891626,0.108695,0
1935,,,310,0.084831,4063,9,8,0.345866,0.373441,2294713.547549,0.38108,0
2111,,,174,0.072354,1089,6,8,0.317952,0.334703,1641033.878306,0.110628,0
2253,,,217,0.047406,1111,15,8,0.326249,0.343756,3435286.576355,0.097399,0
2720,,,100,0.109899,544,31,8,0.316834,0.334661,944455.824662,0.098771,0
2939,,,228,0.087062,2253,9,8,0.31488,0.332804,3243278.680757,0.138464,0
2947,,,263,0.093054,3206,15,8,0.333409,0.356158,1736491.074912,0.209919,0
4755,,,365,0.069321,4605,15,8,0.314448,0.334466,2665216.780258,0.14996,0
5041,,,24,0.144928,40,3,9,0.286196,0.296128,283271.273193,0.005356,0
5045,,,23,0.083004,21,63,9,0.288314,0.298778,207081.920097,0.006891,0
5046,,,18,0.104575,16,9,9,0.291263,0.301854,44120.858763,0.009061,0
6826,,,1,0,0,9,9,0.263372,0.273556,0,0.001438,0
6827,,,4,0.5,3,31,9,0.266847,0.277437,1760.77785,0.002335,0
6828,,,36,0.155556,98,50,8,0.268341,0.27987,241600.38216,0.006736,0
6829,,,17,0.117647,16,127,8,0.27575,0.286474,263498.011519,0.006502,0
6830,,,3,0,0,7,9,0.26338,0.273595,67387,0.001602,0
6831,,,46,0.05314,55,53,9,0.278432,0.289406,555745.533703,0.009546,0
9137,,,72,0.002739,7,3,9,0.223453,0.231291,1356218.965779,0.006494,0
342,,,344,0.032239,1902,9,7,0.333178,0.354046,5196253.592539,0.186825,0
1588,,,217,0.040109,940,3,8,0.32887,0.349151,4817068.383223,0.159497,0
1970,,,46,0.023188,24,3,8,0.277977,0.28908,703180.633726,0.009793,0
5025,,,6,0,0,3,9,0.256971,0.265271,37427.680942,0.001274,0
5026,,,8,0,0,3,9,0.237543,0.244823,96801.967083,0.00102,0
5027,,,35,0.008403,5,3,9,0.240222,0.248466,600149.406553,0.003707,0
8558,,,47,0.049029,53,3,9,0.26574,0.276616,692776.034655,0.008253,0
8559,,,27,0.054131,19,3,9,0.256681,0.265406,154031.603335,0.003876,0
8560,,,37,0.039039,26,3,9,0.254306,0.264443,632228.876827,0.005759,0
8561,,,11,0,0,3,9,0.258534,0.267267,14593.025971,0.002149,0
9861,,,33,0.039773,21,8,9,0.258534,0.26831,797722.325774,0.00534,0
91,,,172,0.061812,909,9,8,0.32253,0.341749,2593102.62995,0.128183,0
114,,,285,0.027724,1122,9,7,0.328463,0.347347,5485167.347473,0.123932,0
920,,,214,0.077618,1769,9,8,0.341748,0.363626,2852450.37555,0.219087,0
8557,,,50,0,0,48,9,0.255656,0.264448,1382771.319712,0.005055,0
80,,,271,0.030122,1102,9,8,0.327977,0.346373,4473383.859152,0.155328,0
89,,,247,0.073829,2243,9,8,0.339373,0.361681,3148803.952187,0.245705,0
90,,,366,0.030571,2042,9,7,0.34045,0.363765,5646990.454352,0.230881,0
277,,,136,0.079085,726,9,7,0.336371,0.357017,1334194.855128,0.134462,0
286,,,711,0.021097,5325,9,7,0.344336,0.372002,12731890.001473,0.329769,0
370,,,1099,0.022658,13671,53,7,0.374522,0.41066,16954867.157902,0.835536,0
543,,,521,0.014558,1972,63,8,0.339866,0.363032,12539952.875823,0.225566,0
659,,,244,0.085543,2536,31,8,0.342154,0.364244,3021772.615336,0.265419,0
875,,,133,0.075644,664,9,8,0.325433,0.342783,1273255.408836,0.106977,0
879,,,101,0.115446,583,9,8,0.3308,0.350361,996942.308847,0.111733,0
880,,,135,0.081481,737,9,8,0.318361,0.333894,1885527.426719,0.08521,0
918,,,121,0.120937,878,9,8,0.322901,0.339471,741582.487991,0.100567,0
922,,,136,0.102832,944,9,8,0.31926,0.335665,828638.486281,0.10296,0
950,,,106,0.039353,219,14,8,0.3053,0.317852,946377.878013,0.033994,0
966,,,7,0.095238,2,10,8,0.275572,0.285477,38011.178623,0.002097,0
1000,,,65,0.079808,166,15,8,0.315623,0.329001,1274230.854861,0.03914,0
1560,,,119,0.132175,928,9,8,0.324243,0.341468,911338.447083,0.114447,0
1649,,,14,0.582418,53,31,8,0.311449,0.325454,4645.596268,0.047397,0
1700,,,6,0.466667,7,9,8,0.299147,0.310175,3711.92616,0.015412,0
1723,,,10,0.377778,17,31,8,0.305098,0.315902,28577.554757,0.021114,0
1759,,,30,0.206897,90,31,8,0.315641,0.328883,122860.066366,0.042785,0
1817,,,278,0.03166,1219,1,8,0.326695,0.346324,5257482.146615,0.13535,0
2715,,,59,0.107539,184,63,8,0.311581,0.326087,854013.248067,0.047823,0
2728,,,77,0.104238,305,31,8,0.309035,0.322052,846196.171256,0.051045,0
2773,,,168,0.10308,1446,9,8,0.31581,0.329644,1838292.992082,0.09814,0
4152,,,169,0.083615,1187,9,8,0.310036,0.325309,4976990.223266,0.081666,0
5031,,,2,1,1,10,9,0.274913,0.284748,0,0.00156,0
5032,,,12,0.075758,5,10,9,0.277332,0.287395,116477.230883,0.003021,0
5034,,,2,1,1,63,9,0.278246,0.287906,0,0.002209,0
5035,,,9,0.222222,8,14,9,0.28015,0.290423,18235.101991,0.003588,0
5037,,,7,0.571429,12,31,9,0.290211,0.302252,5438.005455,0.009044,0
5038,,,1383,0.000469,448,30,8,0.314044,0.346591,43651092.833072,0.183719,0
5039,,,2,1,1,10,9,0.276358,0.286538,0,0.002396,0
5040,,,3,0,0,10,9,0.274983,0.284821,9537.922145,0.001623,0
5042,,,41,0.030488,25,21,8,0.298365,0.309167,418899.047706,0.012251,0
5043,,,4,0.333333,2,10,9,0.282994,0.293103,3513.344553,0.003002,0
5044,,,3,0.666667,2,0,8,0.2837,0.294773,3857.594725,0.004784,0
5047,,,2,1,1,15,9,0.275124,0.284863,0,0.001548,0
5049,,,10,0.066667,3,10,9,0.277204,0.287078,129795.674804,0.002637,0
5051,,,52,0.045249,60,0,9,0.298911,0.314514,1407041.252365,0.0174,0
5052,,,56,0.079221,122,10,8,0.307739,0.322063,677971.184606,0.04055,0
5053,,,129,0.070736,584,6,8,0.318758,0.334266,1758190.544663,0.077538,0
5054,,,1,0,0,10,9,0.274882,0.284679,0,0.001443,0
5055,,,2,1,1,1,9,0.282368,0.292577,0,0.003495,0
5056,,,2,1,1,10,8,0.281719,0.291886,0,0.003541,0
5057,,,26,0.070769,23,10,9,0.279912,0.290502,191533.287265,0.005292,0
5058,,,2,1,1,10,9,0.275034,0.284912,0,0.001593,0
5059,,,5,0.4,4,10,8,0.279198,0.289358,101076,0.002881,0
5060,,,2,1,1,10,9,0.27784,0.287514,0,0.002276,0
5062,,,2,1,1,50,9,0.277191,0.286854,0,0.001888,0
5063,,,2,1,1,10,9,0.281298,0.291618,0,0.0036,0
5064,,,13,0.025641,2,2,9,0.282378,0.29224,95433.720218,0.003135,0
5065,,,11,0.418182,23,3,8,0.291527,0.302334,246674.020237,0.007818,0
5066,,,8,0.571429,16,15,9,0.287245,0.297808,6079.914283,0.006867,0
5067,,,12,0.30303,20,31,8,0.298424,0.310716,38610.005647,0.022156,0
8264,,,21,0.27619,58,11,8,0.295715,0.310072,17528.775807,0.026402,0
79,,,119,0.065518,460,9,7,0.328181,0.344742,1111035.969274,0.10317,0
85,,,32,0.324597,161,9,8,0.294975,0.307477,240025.282999,0.02703,0
87,,,44,0.255814,242,9,7,0.303956,0.318434,70755.465921,0.049472,0
101,,,86,0.078523,287,9,7,0.311115,0.326993,1184975.457458,0.051391,0
108,,,21,0.342857,72,9,8,0.297341,0.31196,24047.745109,0.030308,0
113,,,34,0.221034,124,9,8,0.302781,0.318278,56571.860936,0.039268,0
119,,,45,0.294949,292,9,8,0.305032,0.319209,24537.135604,0.055635,0
121,,,33,0.255682,135,9,7,0.296064,0.309857,183431.249813,0.031988,0
127,,,481,0.031289,3612,15,7,0.348496,0.376379,10723054.753677,0.305945,0
138,,,98,0.141174,671,9,7,0.308788,0.325061,166286.919547,0.076474,0
143,,,138,0.163123,1542,9,7,0.328539,0.350808,889341.360581,0.191897,0
154,,,45,0.251515,249,9,8,0.305668,0.320248,33774.792771,0.054403,0
155,,,497,0.040647,5010,9,7,0.354054,0.382621,7162833.389766,0.451305,0
164,,,93,0.240533,1029,9,7,0.335718,0.354852,418457.535013,0.160173,0
165,,,166,0.117196,1605,9,7,0.339986,0.364185,1247946.191325,0.213862,0
169,,,34,0.272727,153,2,8,0.306851,0.322923,62052.440088,0.04756,0
186,,,229,0.132651,3463,31,7,0.347099,0.371524,867099.860894,0.358142,0
193,,,94,0.192862,843,9,7,0.330165,0.351594,471822.663227,0.136365,0
239,,,99,0.129458,628,9,7,0.31033,0.326976,524324.777375,0.083962,0
245,,,138,0.153602,1452,9,7,0.334485,0.357086,1158546.940369,0.191505,0
280,,,94,0.175932,769,9,7,0.325622,0.346987,433707.466599,0.134244,0
281,,,73,0.221461,582,9,7,0.328546,0.349308,294644.901342,0.13465,0
290,,,61,0.22459,411,9,7,0.313372,0.331054,124887.641226,0.071739,0
378,,,229,0.128591,3357,9,7,0.347924,0.374921,2429077.682794,0.312097,0
382,,,120,0.203641,1454,9,7,0.326553,0.348635,174252.255546,0.199196,0
415,,,12,0.424242,28,9,7,0.288448,0.300272,2066.273263,0.015526,0
420,,,141,0.194833,1923,9,7,0.343532,0.370115,566718.370118,0.270644,0
645,,,146,0.185357,1962,31,8,0.342304,0.365004,452355.252167,0.240189,0
662,,,120,0.17591,1256,9,8,0.335274,0.35754,659106.67566,0.19552,0
824,,,138,0.117106,1107,9,8,0.329098,0.351556,443866.646663,0.18637,0
864,,,31,0.270968,126,9,8,0.30283,0.320117,15159.687241,0.049509,0
870,,,41,0.297561,244,9,8,0.302466,0.317971,81631.872612,0.044945,0
882,,,56,0.292857,451,9,8,0.313509,0.330427,67411.563029,0.089279,0
936,,,73,0.217656,572,9,8,0.319335,0.33799,189957.917981,0.082786,0
1068,,,144,0.179973,1853,9,8,0.32718,0.350134,205414.34271,0.213417,0
1354,,,68,0.22827,520,9,8,0.322746,0.34401,124699.816413,0.128263,0
1355,,,39,0.276653,205,9,8,0.313968,0.331412,149618.182355,0.068824,0
1486,,,38,0.206259,145,9,8,0.29564,0.308855,258289.85001,0.02676,0
1606,,,36,0.215873,136,15,8,0.335144,0.354772,660637.148564,0.088372,0
1668,,,65,0.204808,426,9,8,0.311336,0.327174,108886.65151,0.063124,0
1713,,,38,0.237553,167,2,8,0.321545,0.339862,1514585.839569,0.059614,0
1797,,,41,0.22439,184,9,8,0.299938,0.313685,107259.043363,0.033405,0
1814,,,94,0.179135,783,9,8,0.321508,0.343264,441130.084779,0.129293,0
1849,,,31,0.286022,133,9,8,0.301179,0.318155,30049.377488,0.049206,0
1889,,,18,0.418301,64,9,8,0.285336,0.297809,17289.002451,0.016493,0
1891,,,33,0.265152,140,9,8,0.293385,0.307474,51912.716068,0.026947,0
1893,,,47,0.234968,254,9,8,0.29773,0.312549,134555.814344,0.04127,0
1947,,,22,0.38961,90,9,8,0.289491,0.301999,4948.873273,0.020092,0
1953,,,41,0.245122,201,9,8,0.303119,0.317828,54969.017056,0.040509,0
1964,,,17,0.286765,39,9,8,0.296017,0.308328,54740.381451,0.013571,0
